,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,User,Text,Date,Hashtags
38,76,78,81,81,NewsLife2020,"#BREAKING Abu Dhabi placed 2 hotels under a ""lockdown"" after 2 Italians tested positive for #COVID19. All guests are currently undergoing screening for the novel coronavirus: BBC Source: @disclosetv",2020-02-28 13:08:19+00:00,#BREAKING #COVID19
58,116,118,121,121,globaltimesnews,#COVID19 patient who escaped Wuhan amid lockdown identified by media as ex-convict of corruption crime http://bit.ly/3aa034H,2020-02-27 19:20:01+00:00,#COVID19
88,176,180,186,186,iChinadian,China: child found home alone with dead grandfather amid coronavirus lockdown https://www.theguardian.com/world/2020/feb/26/china-child-found-home-alone-with-dead-grandfather-amid-coronavirus-lockdown?CMP=share_btn_tw #COVID19,2020-02-26 19:46:02+00:00,#COVID19
97,194,200,208,208,NewsLife2020,#coronavirus #Paris #France #BREAKING Creil hospital outside of Paris is on lockdown. The deceased #COVID19 patient spent 10 days in the hospital before the transfer to the Paris hospital of Pitié-Salpêtrière. Doctors thought he had regular pneumonia. Source: @disclosetv,2020-02-26 12:35:01+00:00,#coronavirus #Paris #France #BREAKING #COVID19
100,200,206,214,214,NewstalkFM,Guests at a hotel in Tenerife that has been placed on lockdown after four people tested positive for the #COVID19 #coronavirus are being allowed to leave their rooms.,2020-02-26 10:32:17+00:00,#COVID19 #coronavirus
115,230,237,246,246,NewsbyMorB, New cases in Gulf; Wuhan still in lockdown: Virus update - https://pandemic.pwastart.com/latest-news/new-cases-in-gulf-wuhan-still-in-lockdown-virus-update/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,2020-02-26 01:30:03+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
118,236,244,254,254,dzrhnews,.@DFAPHL inaalam kung may pinoy na nasama sa lockdown ng isang hotel sa Spain dahil sa #COVID19 | via RH06 @sherwinalfaro #DZRHat80,2020-02-26 00:45:12+00:00,#COVID19 #DZRHat80
130,259,269,281,281,globaltimesnews,It is difficult for countries like Japan and #SouthKorea to take the Chinese measures like lockdown in fight against #COVID19 due to different political systems. http://bit.ly/3c3k4vP,2020-02-25 19:20:01+00:00,#SouthKorea #COVID19
132,262,272,284,284,SkyNews,What’s happening in Tenerife? A hotel is on lockdown there with hundreds of tourists reportedly being tested for #coronavirus. It’s after an Italian doctor who stayed at the hotel tested positive for #COVID19 ,2020-02-25 19:08:36+00:00,#coronavirus #COVID19
135,268,279,292,292,SkyNews,If you only read three stories... Hotel in Tenerife quarantined over #COVID19 https://trib.al/iOTfB6R How Italian towns hit by #coronavirus are coping with life in lockdown https://trib.al/1sAYr0o Police use pancakes in hunt for suspects https://trib.al/HTq16ph,2020-02-25 18:16:27+00:00,#COVID19 #coronavirus
143,284,296,310,310,SkyNews,"Footage has emerged of a hotel in Tenerife in lockdown after an Italian guest tested positive for #COVID19, the disease caused by the #coronavirus. Read more: https://trib.al/slpzP9z",2020-02-25 16:00:00+00:00,#COVID19 #coronavirus
159,316,330,346,346,SkyNews,"Footage has emerged of a hotel in Tenerife in lockdown after an Italian guest tested positive for #COVID19, the disease caused by the #coronavirus. Read more: https://trib.al/slpzP9z",2020-02-25 12:30:00+00:00,#COVID19 #coronavirus
169,335,349,365,365,euronews,BREAKING | #COVID19: Spanish hotel on lockdown as virus confirmed http://bit.ly/2TfP7f4,2020-02-25 10:26:55+00:00,#COVID19
185,365,379,395,395,globaltimesnews,"#Wuhan authorities retracted an announcement only three hours after its publication that said it would ease the city’s lockdown to allow certain residents to leave and those outside to enter, as the epicenter has been sealed off for 31 days. #COVID19 http://bit.ly/2PhKcsS",2020-02-25 03:40:02+00:00,#Wuhan #COVID19
188,371,385,401,401,dzrhnews,"#CoffeeBreak @DOHgov @SecDuque: 'Yun na nga ang sinasabi nila [@WHO], hindi malayong maging pandemic ito [#COVID19]. Hindi ibig sabihin namang hindi natin kayang sugpuin. Sa China, mukhang umeepekto ang lockdown. LIVE: http://bit.ly/2vfBTXH",2020-02-25 01:08:57+00:00,#CoffeeBreak #COVID19
195,385,400,416,416,DNBCNews,#Milano #COVID19 #Lockdown ,2020-02-24 23:27:48+00:00,#Milano #COVID19 #Lockdown
226,446,468,492,492,intellihubnews,Grocery store shelves go empty in Northern Italy just hours ahead of #martiallaw lockdown http://bit.ly/2T92u0K via @intellihubnews #coronavirus #COVID19,2020-02-24 12:28:50+00:00,#martiallaw #coronavirus #COVID19
227,448,470,494,494,UCBNewsTeam,"Schools & universities in northern Italy are shut as authorities try to stop #covid19 #Coronavirus spreading. 5 peopel are dead and 12 towns are in lockdown. Austria &amp; France are considering border controls, though the EU says @WHO advice is that this is unnecessary. @UCBMedia",2020-02-24 12:03:08+00:00,#covid19 #Coronavirus
232,458,480,504,504,SkyNews,"Supermarket shelves have been emptied in Milan, as residents stockpile food and supplies ahead of a government-enforced #coronavirus quarantine. A dozen towns in Italy are in lockdown as authorities race to contain #COVID19 in Europe. Read more here: https://trib.al/t3vBgW7",2020-02-24 10:35:00+00:00,#coronavirus #COVID19
237,466,488,512,512,PDChinaLife,"Infrared cameras in Jiuzhaigou, SW China's Sichuan, have captured rare footage of protected species such as Eurasian otter and tufted deer wandering in the famous scenic spot, which is currently under lockdown due to #COVID19. ",2020-02-24 09:00:00+00:00,#COVID19
248,488,511,536,536,XHNews,"Italy reports 152 confirmed cases of #COVID19 infection, including 3 deaths &amp; 1 recovery Local authorities have issued bans, taken economic measures 11 towns, 10 in Lombardy and 1 in Veneto, are under lockdown Venice Carnival was canceled http://xhne.ws/qlT2g",2020-02-24 06:32:25+00:00,#COVID19
249,490,513,538,538,ChinaDaily,"#EverydayHero Volunteers in #Wuhan buy and deliver groceries and other essentials to local residents, as it is difficult to buy daily necessity for some residents after the lockdown of the city. #coronavirus #COVID19 #China",2020-02-24 06:16:04+00:00,#EverydayHero #Wuhan #coronavirus #COVID19 #China
268,526,553,582,582,247NewsTODAY,#Coronavirus: Venice Carnival closes as #Italy imposes lockdown. #COVID19 ,2020-02-23 22:20:03+00:00,#Coronavirus #Italy #COVID19
315,618,657,698,698,SecretNews,South Korea Coronavirus Cases Go Exponential As New Infections Soar By 70%; 10 Towns In Northern Italy Put On Lockdown https://infiniteunknown.net/2020/02/22/coronavirus-italy-declares-state-of-emergency-south-korea-reports-123-new-coronavirus-cases-raising-total-to-556-death-toll-hits-4-coronavirus-deaths-outside-china-spike-as-who-team-visits-wuha/ #BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #COVID19 #Collapse #Italy #China #SouthKorea,2020-02-23 05:39:15+00:00,#BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #COVID19 #Collapse #Italy #China #SouthKorea
365,718,760,804,804,intellihubnews,"Nearly a dozen Italian towns in lockdown, full-scale #martiallaw rollout planned as contagion continues rapid spread http://bit.ly/37MXYdC via @intellihubnews #COVID19 #Coronavirus",2020-02-22 14:30:46+00:00,#martiallaw #COVID19 #Coronavirus
374,735,777,821,821,NewsbyMorB," Italian towns on lockdown after 2 virus deaths, clusters - https://pandemic.pwastart.com/latest-news/italian-towns-on-lockdown-after-2-virus-deaths-clusters/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan",2020-02-22 12:30:05+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
416,812,857,904,904,NewsbyMorB, How Virus Lockdown Orders Went From Xi Jinping to My Neighborhood Auntie - https://pandemic.pwastart.com/latest-news/how-virus-lockdown-orders-went-from-xi-jinping-to-my-neighborhood-auntie/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,2020-02-21 11:00:03+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
417,814,859,906,906,globaltimesnews,Measures prisons have taken to prevent #COVID19: Police officers’ movements are traced &amp; screened Prisons are all under lockdown Patients are ensured timely medical treatment Increased supervision and inspections Officials who fail to prevent virus spread are held accountable ,2020-02-21 07:48:15+00:00,#COVID19
421,822,867,914,914,NewsbyMorB, How Virus Lockdown Orders Went From Xi Jinping to My Neighborhood Auntie - https://pandemic.pwastart.com/latest-news/how-virus-lockdown-orders-went-from-xi-jinping-to-my-neighborhood-auntie/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,2020-02-21 00:30:05+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
429,838,884,932,932,SecretNews,"Shocking Spike In COVID-19 Cases Puts Beijing On High Alert; Officials Weigh ""Wuhan-Level"" Lockdown https://www.zerohedge.com/geopolitical/coronavirus-deaths-outside-china-surge-overnight-explosion-new-cases-suggests-outbreak #BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19 #Wuhan #Beijing",2020-02-20 19:23:34+00:00,#BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19 #Wuhan #Beijing
439,858,906,956,956,NewsbyMorB, Trapped at home: Irishman's virus lockdown experience - https://pandemic.pwastart.com/latest-news/trapped-at-home-irishmans-virus-lockdown-experience/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,2020-02-20 12:45:11+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
458,896,944,994,994,NewsbyMorB, Trapped at home: Irishman's virus lockdown experience - https://pandemic.pwastart.com/latest-news/trapped-at-home-irishmans-virus-lockdown-experience/?utm_source=AP CLICK to read Virus BREAKING Live News 24/7 PLEASE RT and FOLLOW #virus #outbreak #pandemic #sars #ebola #COVID-19 #COVID2019 #COVID19 #Wuhan,2020-02-19 21:30:30+00:00,#virus #outbreak #pandemic #sars #ebola #COVID #COVID2019 #COVID19 #Wuhan
461,902,950,1001,1001,SCMPNews,"For many elderly who live alone in China, the lockdown due to the virus outbreak has made buying daily necessities near impossible. #covid19 ",2020-02-19 15:45:00+00:00,#covid19
464,907,955,1006,1006,intellihubnews,Droids deliver news of complete martial law lockdown in Wuhan » Intellihub http://bit.ly/39Ju2jV via @intellihubnews #COVID19 #Coronavirustruth,2020-02-19 12:37:46+00:00,#COVID19 #Coronavirustruth
465,909,957,1008,1008,SCMPNews,"For many elderly who live alone in China, the lockdown due to the virus outbreak has made buying daily necessities near impossible. #covid19 ",2020-02-19 11:45:00+00:00,#covid19
476,931,980,1031,1031,PDChina,"Since #COVID19 outbreak and #Wuhan lockdown, the Chinese PLA Air Force has sent 4 batches of transport aircraft, carrying medical personnel and hospital supplies to Wuhan. ",2020-02-18 16:45:00+00:00,#COVID19 #Wuhan
480,938,987,1039,1039,globaltimesnews,"Wang Shiwen, head of local health commission in Ezhou, a city in Central #China's Hubei, which is being under city lockdown due to #COVID19, was proposed to be removed from the position: Hubei Daily. (File Photo) ",2020-02-18 14:41:01+00:00,#China #COVID19
483,943,992,1044,1044,ChinaDaily,"27 days into lockdown, the city of #Wuhan has received support from around the world. #COVID19 #coronavirus",2020-02-18 13:50:00+00:00,#Wuhan #COVID19 #coronavirus
495,966,1015,1067,1067,247NewsTODAY,"#Coronavirus death toll tops 1,873 as 780 million remain on lockdown in #China. #COVID19 ",2020-02-18 05:50:04+00:00,#Coronavirus #China #COVID19
597,1159,1211,1267,1267,PDChina,"S Hubei's Honghu City, will begin #lockdown starting Feb.14, where all residents are not allowed to exit or re-enter their communities or residential areas amid novel #coronavirus (#COVID19) outbreak. Honghu city has 271 confirmed cases by Feb. 13. ",2020-02-14 16:50:00+00:00,#lockdown #coronavirus #COVID19
612,1188,1240,1296,1296,SecretNews,"US Military Initiates “Global Campaign Plan For Pandemic” – Dawu County in #Hubei province announces “wartime” lockdown due to coronavirus, bans people from leaving their home https://infiniteunknown.net/2020/02/13/hubei-reports-116-new-coronavirus-deaths-4823-cases-over-160000-tracked-in-shocking-admission-who-advisor-says-coronavirus-may-infect-over-5-billion-people-us-military-initiates-global-camp/ #BreakingNews #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19",2020-02-14 05:04:37+00:00,#Hubei #BreakingNews #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19
615,1194,1246,1302,1302,WhatsThe411News,"About 10,000 people in Vietnam are currently being quarantined after 6 new cases of the #coronavirus. This is the very first mass quarantine outside of China and the lockdown will last for 20 days. #Vietnam #COVID19 #CoronavirusOutbreak Source:",2020-02-14 02:46:20+00:00,#coronavirus #Vietnam #COVID19 #CoronavirusOutbreak
622,1208,1262,1320,1320,dzrhnews,"Sagada sa Mt. Province, naka-lockdown dahil sa #COVID19 #PangunahingBalita #DZRHat80",2020-02-13 23:06:22+00:00,#COVID19 #PangunahingBalita #DZRHat80
657,1277,1334,1395,1395,iChinadian,Coronavirus: Chinese man under lockdown runs 31 miles in his living room https://www.theguardian.com/world/2020/feb/12/coronavirus-chinese-man-under-lockdown-runs-31-miles-in-his-living-room?CMP=share_btn_tw #COVID19 #China,2020-02-12 19:11:26+00:00,#COVID19 #China
659,1281,1338,1399,1399,PDChina,"#Shiyan city, 400 km NW of #Wuhan, will begin 14-day “wartime” #lockdown in its whole Zhangwan District since Feb 13, where all people are not allowed to enter or exit residential buildings, in order to curb the spread of novel #coronavius infection. #COVID19 ",2020-02-12 18:00:00+00:00,#Shiyan #Wuhan #lockdown #coronavius #COVID19
753,1466,1529,1596,1596,SecretNews,"""There Are Basically No Sales"": U.S. Auto Industry Enters Total Collapse As A Result Of Nationwide Lockdown https://www.zerohedge.com/economics/there-are-basically-no-sales-us-auto-industry-enters-total-collapse-result-nationwide #BreakingNews #Coronavirus #CoronavirusOutbreak #CoronavirusPandemic #COVID19 #COVIDー19 #COVID_19 #COVID2019 #Collapse2020 #Collapse",2020-03-31 23:09:29+00:00,#BreakingNews #Coronavirus #CoronavirusOutbreak #CoronavirusPandemic #COVID19 #COVID #COVID_19 #COVID2019 #Collapse2020 #Collapse
870,1697,1776,1859,1859,DuchyTVNews,WATCH VIDEO: Plateau State Residents reject Covid19 lockdown over hunger. https://youtu.be/99VC77nBSbM The residents troops out in mass from Covid19 lockdown to protest hunger. Kindly subscribe to our YouTube channel 'Duchy TV' #lockdown #COVID19 #lockdown,2020-03-31 22:18:17+00:00,#lockdown #COVID19 #lockdown
871,1699,1778,1861,1861,DuchyTVNews,WATCH VIDEO: Reps Donate Two Months' Salary to Contain Covid-19 https://youtu.be/l7jWSa9E6GI The decision was reached in emergency meeting of principal members of House of representatives. Kindly subscribe to our YouTube channel 'Duchy TV' #COVID19 #StayAtHome #lockdown,2020-03-31 22:16:47+00:00,#COVID19 #StayAtHome #StayAtHome #lockdown
901,1758,1842,1931,1931,Financialnewswk,#Economy On Lockdown: #Jobless Rate Could Be Highest Since WWII https://www.npr.org/sections/coronavirus-live-updates/2020/03/31/824520791/economy-on-lockdown-jobless-rate-could-be-highest-since-wwii?utm_medium=RSS&amp;utm_campaign=economy #COVID19,2020-03-31 22:05:39+00:00,#Economy #Jobless #COVID19
908,1772,1857,1947,1947,airnewsalerts,Finance Ministry announced several relief measures relating to statutory and regulatory compliance matters across sectors in view of challenges faced by #taxpayers due to lockdown arising out of #COVID19 outbreak.,2020-03-31 22:03:45+00:00,#taxpayers #COVID19
922,1800,1887,1980,1980,NoidaNewsIndia,Army Man Giving His Food to Poor People | Police Helps Poor Peoples | No... https://youtu.be/EWY8Rw93b-I via @YouTube @noidanewsindia @twitter @coronavirus @covid19 @india @lockdown @noidanews @stayathome @latestnews,2020-03-31 22:00:14+00:00,
942,1840,1927,2020,2020,SCMPNews,This charity is distributing food to the poor in Karachi. A province-wide #Covid19 lockdown has made it even harder for people to afford food ,2020-03-31 21:55:00+00:00,#Covid19
945,1846,1933,2026,2026,TapNewsAgency,"#Tunisia: @interieurTn said in statement after Tuesday evening's decision to extend lockdown by 2 weeks from April 5 it ""will continue to deal with all violations &amp; strictly enforce the law for all"", as part of ""its national commitment to combating spread of #COVID19."" #TAP_En",2020-03-31 21:54:31+00:00,#Tunisia #COVID19 #TAP_En
1023,2000,2094,2194,2194,UCANews,10 die in Delhi after attending a Muslim conference ignoring the government orders Read more… https://www.ucanews.com/news/10-die-of-covid-19-in-india-after-muslim-conference/87590 #COVID19 #Corona #lockdown #coronavirusinindia,2020-03-31 21:30:51+00:00,#COVID19 #Corona #lockdown #coronavirusinindia
1109,2171,2270,2375,2375,NewsThaivisa,"In Germany, Thai expats feel the pain of lockdown https://bit.ly/3bGTXcV #germany #coronavirus #covid19 ",2020-03-31 21:06:33+00:00,#germany #coronavirus #covid19
1117,2187,2288,2395,2395,wwvnews,America extends lockdown to 30 April as coronavirus is set to peak in the country. #COVID19 #CoronavirusUSA #CoronaVirusUpdates,2020-03-31 21:04:50+00:00,#COVID19 #CoronavirusUSA #CoronaVirusUpdates
1173,2297,2405,2521,2521,NewsThaivisa,Phuket hotels look to close during lockdown https://bit.ly/2R1vJ5k #thailand #coronavirus #covid19 ,2020-03-31 20:47:33+00:00,#thailand #coronavirus #covid19
1245,2438,2546,2665,2665,StourbridgeNews,Police carry out coronavirus lockdown checks on Stourbridge ring road https://www.stourbridgenews.co.uk/news/18348717.police-carry-coronavirus-lockdown-checks-stourbridge/?ref=twtrec #coronavirus #COVID19 #lockdown #Stourbridge #policepowers,2020-03-31 20:26:10+00:00,#coronavirus #COVID19 #lockdown #Stourbridge #policepowers
1307,2560,2675,2801,2801,OgbongeNewsroom,#COVID19 lockdown: Lagos sets up 22 emergency food markets for residents (see full list) https://www.ogbongenews.com/2020/03/covid-19-lockdown-lagos-sets-up-emergency-food-markets-for-residents.html #CoronaVirusInLagos #OgbongeNews,2020-03-31 20:09:37+00:00,#COVID19 #CoronaVirusInLagos #OgbongeNews
1489,2913,3053,3206,3206,daylife_news,"#CoronaVirus #Covid19 के साथ भारत की जंग में #Navratri में माता रानी ने कुछ इस तरह से दिया जीत का आशीर्वाद। देखिए, #Ramayan के मधुर-मनमोहक संगीत के साथ देश में #Lockdown के दिनों में लोग कैसे कैसे 'चमत्कार' देख रहे हैं ",2020-03-31 19:20:47+00:00,#CoronaVirus #Covid19 #Navratri #Ramayan #Lockdown
1564,3059,3210,3376,3376,4cminews,"VIDEO 2020 MAR 31 **CONFUSED COVID19 CORNSTALKS, COCKROACHES, WELSHIES; NSW IS IN LOCKDOWN** #4cminewswire, #COVID19, #Lockdown, #MickFuller, #GladysBerejiklian, #4cminews, #4CMiTV, #4CM2020MAR31, WATCH HERE: https://www.4cmitv.com/2020/04/01/2020-mar-31-confused-covid19-cornstalks-cockroaches-welshies-nsw-is-in-lockdown/ **NSW ‘MICK FULLER’ YOUR ARE IN LOCKDOWN** ",2020-03-31 19:01:02+00:00,#4cminewswire #COVID19 #Lockdown #MickFuller #GladysBerejiklian #4cminews #4CMiTV #4CM2020MAR31
1579,3087,3240,3408,3408,gallinews,Good work @warispathan @aimim_national Carry on #Coronavirus #COVID19 #Mumbai #lockdown ,2020-03-31 18:57:30+00:00,#Coronavirus #COVID19 #Mumbai #lockdown
1616,3158,3316,3491,3491,arznewsnetwork,Pakistani Actor Zahid Ahmed Shares Valuable Quarantine Tips With His Fans Watch More: https://youtu.be/OSO80rb8iKk #ArzNews #ArzNewsNetwork #Karachi #ZahidAhmed #PakistaniCelebrity #CoronaTigerForce #LockDown #CoronaVirus #Corona #Covid19 #COVID19 #CoronaVirusPakistan,2020-03-31 18:50:17+00:00,#ArzNews #ArzNewsNetwork #Karachi #ZahidAhmed #PakistaniCelebrity #CoronaTigerForce #LockDown #CoronaVirus #Corona #Covid19 #COVID19 #CoronaVirusPakistan
