,Unnamed: 0,Unnamed: 0.1,User,Text,Date,Hashtags
27,32,32,TigerPostNews1,follow the lockdown Stay at home stay safe #Covid19India #StayHome,2020-03-31 17:53:41+00:00,#Covid19India #StayHome #StayHome
69,80,80,pennewstweet,Killing spree in UK during coronavirus lockdown; 9 killed #UK #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak,2020-03-31 14:58:20+00:00,#UK #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak
95,109,109,GetNewsd,COVID-19 lockdown: Here’s why you should avoid sitting on bed while working from home #CoronavirusLockdown #Covid19India ,2020-03-31 13:26:16+00:00,#CoronavirusLockdown #Covid19India
110,127,127,GetNewsd,COVID-19 Lockdown: Farmer from Karnataka’s Bidar commits suicide as his farm grown watermelons had no buyers #coronavirus #COVID19India #farmers #Karnataka https://newsd.in/farmer-from-karnatakas-bidar-commits-suicide-as-watermelons-from-his-farm-had-no-buyers/,2020-03-31 13:06:59+00:00,#coronavirus #COVID19India #farmers #Karnataka
111,128,128,MysoorunewsC,"Amidst lockdown, PFA and volunteers feed hundreds of stray dogs https://www.mysoorunews.com/amidst-lockdown-pfa-and-volunteers-feed-hundreds-of-stray-dogs/ #Mysuru #Covid19India #CoronavirusOutbreak #straydogs #feed #PeopleForAnimals #street @MysoorunewsC @Manekagandhibjp @peta @pedigree",2020-03-31 13:02:21+00:00,#Mysuru #Covid19India #CoronavirusOutbreak #straydogs #feed #PeopleForAnimals #street
137,156,156,Coronaupdatez,SBI UPDATE #CoronaUpdate #COVID #Covid19India #lockdown #IndiaNews #coronanews,2020-03-31 11:59:56+00:00,#CoronaUpdate #COVID #Covid19India #lockdown #IndiaNews #coronanews
172,197,197,pennewstweet,Nigeria announces lockdown of major cities to curb coronavirus #Nigeria #implemented #millionpeople #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak,2020-03-31 10:17:59+00:00,#Nigeria #implemented #millionpeople #COVID19 #psychological #people #calm #MSUPE #COVID19 #COVID19India #CoronaVirusOutbreak #CoronaVirus #COVID_19 #COVID19outbreak
180,207,207,GetNewsd,"Assam’s 10,000 workers stranded in Mizoram amidst COVID-19 lockdown #Assam #Mizoram #Covid19India https://newsd.in/assams-10000-workers-stranded-in-mizoram-amidst-covid-19-lockdown/",2020-03-31 09:52:03+00:00,#Assam #Mizoram #Covid19India
191,220,220,GetNewsd,Meghalaya migrant worker commits suicide in Agra amidst COVID-19 lockdown #meghalaya #COVID19India #coronavirus,2020-03-31 09:30:59+00:00,#meghalaya #COVID19India #coronavirus
199,229,229,JagranNews,"Lockdown: कांग्रेस नेता अधीर रंजन चौधरी ने Community Kitchen में बनाया भोजन, देखें वीडियो @adhirrcinc #CommunityKitchen #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdownindia",2020-03-31 09:14:37+00:00,#CommunityKitchen #Coronavirus #CoronavirusinIndia #COVID19 #Covid19India #Lockdownindia
