,User,Text,Date,Hashtags
0,Kavisa9,Random comment posted on YouTube regarding Covid19 lockdown and reopening of schools..by a student. I couldn't stop laughing.. hope you will also enjoy it. #schoolsreopening,2020-07-19 20:55:04+00:00,#schoolsreopening
1,BangaloreMirror,"Lockdown extended in the district till July 27 midnight. Decision taken as the number of #COVID19 cases has not come down: B Sharat, Kalaburagi Deputy Commissioner (ANI)",2020-07-19 18:49:40+00:00,#COVID19
2,suvarnanewstv,ದಿಟ್ಟ ತೀರ್ಮಾನ; ಇನ್ನೊಂದು ವಾರ ಲಾಕ್ ಡೌನ್ ವಿಸ್ತರಿಸಿ ಆದೇಶ #Coronavirus #Covid19 #Karnataka #Kalaburagi #Lockdown ,2020-07-19 17:41:29+00:00,#Coronavirus #Covid19 #Karnataka #Kalaburagi #Lockdown
3,NSoJ_Bangalore,#nsoj #Bengaluru #Sandalwood #PRKAudio #FrenchBiryaniOnPrime #LawOnPrime #TheBengaluruSong #Yuvarathnaa #PuneethRajkumar #lockdown #covid19 #thetannoy #journalism #stayathome #karnataka #movies #politics #production #coronavirus #podcast #apple #spotify #beforequarantine,2020-07-19 17:10:42+00:00,#nsoj #Bengaluru #Sandalwood #PRKAudio #FrenchBiryaniOnPrime #LawOnPrime #TheBengaluruSong #Yuvarathnaa #PuneethRajkumar #lockdown #covid19 #thetannoy #journalism #stayathome #stayathome #karnataka #movies #politics #production #coronavirus #podcast #apple #spotify #beforequarantine
4,suvarnanewstv,'ಲಾಕ್‌ಡೌನ್ ಇಲ್ಲದೇ ಕೊರೋನಾ ಕಂಟ್ರೋಲ್' @BBMPSWMSplComm @BBMPCOMM #ManjunathPrasad #Lockdown #Bengaluru #covid19 #BengaluruCoronavirus,2020-07-19 16:32:22+00:00,#ManjunathPrasad #Lockdown #Bengaluru #covid19 #BengaluruCoronavirus
5,NetitharamNews,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StaySafe #pmo #narendramodi #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews #icmr @BharatBiotech,2020-07-19 16:22:38+00:00,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StayHome #StaySafe #pmo #narendramodi #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews #icmr
6,RohanR59417017,Rip government. No fuckin lockdown no fuckin curfew can't stop covid19.. So on july 30 and 31.they are ready to sacrifice us to corona.. Well played @BSYBJP #postponekcet,2020-07-19 15:03:38+00:00,#postponekcet
7,publictvnews,"ರಾಜ್ಯದಲ್ಲಿ 4,120 ಮಂದಿಗೆ ಕೊರೊನಾ – ಸೋಂಕಿತರ ಸಂಖ್ಯೆ 63,772ಕ್ಕೇರಿಕೆ – 8 ಜಿಲ್ಲೆಗಳಲ್ಲಿ ನೂರರ ಗಡಿ ದಾಟಿದ ಕೊರೊನಾ – ಬೆಂಗಳೂರಲ್ಲಿ 2156 ಪ್ರಕರಣ ಪತ್ತೆ https://tinyurl.com/yynw9lga #CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown",2020-07-19 14:57:57+00:00,#CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown
8,NSoJ_Bangalore,@DanishSait #nsoj #Bengaluru #Sandalwood #PRKAudio #FrenchBiryaniOnPrime #LawOnPrime #TheBengaluruSong #YuvarathnaaRampageSoon #PuneethRajkumar #lockdown #covid19 #thetannoy #StayAtHome #movies #politics #production #coronavirus #podcast #apple #spotify #beforequarantine,2020-07-19 14:57:34+00:00,#nsoj #Bengaluru #Sandalwood #PRKAudio #FrenchBiryaniOnPrime #LawOnPrime #TheBengaluruSong #YuvarathnaaRampageSoon #PuneethRajkumar #lockdown #covid19 #thetannoy #StayAtHome #StayAtHome #movies #politics #production #coronavirus #podcast #apple #spotify #beforequarantine
9,jvsathish,@CMofKarnataka @BBMPCOMM any other way to control of covid 19 cases increase I know lockdown not a solution then why this one week lockdown for just name shake ..? Covid19 cycle is 14 but we done 7 days I think no use lkdn ....as public it's my opinion,2020-07-19 14:39:37+00:00,
10,GardenCityUni,#GCU #GardenCityUniversity #Conference #COVID19 #Media #FilmIndusty #NationalConference #Kollywood #Sandalwood #Tollywood #Mollywood #Bollywood #India #Pandemic #Bangalore #University #StayRelevant #Lockdown #Knowledge,2020-07-19 13:09:08+00:00,#GCU #GardenCityUniversity #Conference #COVID19 #Media #FilmIndusty #NationalConference #Kollywood #Sandalwood #Tollywood #Mollywood #Bollywood #India #Pandemic #Bangalore #University #StayRelevant #Lockdown #Knowledge
11,titik_sha22,Idk what and how is the govt of Karnataka planing to control the covid19 situation in the state since the CM has announced that there wont be any lockdown further after 22nd July! Are we all supposed to be positive for once in 2020? Idk!,2020-07-19 12:14:00+00:00,
12,Imaginnovator_,Parenting Tips During A Pandemic Corona Virus (Covid-19) – An Outbreak - https://bit.ly/3dmp0vn #parentingtips #coronavirus #virus #lockdown #workfromhome #staysafe #healthcare #parenting #parent #coronavirus #covid19 #pandemic #SocialDistancing,2020-07-19 10:35:16+00:00,#parentingtips #coronavirus #virus #lockdown #workfromhome #staysafe #healthcare #parenting #parent #coronavirus #covid19 #pandemic #SocialDistancing
13,KannadaPrabha,ಬೆಂಗಳೂರಿನಲ್ಲಿ ಮತ್ತೆ ಲಾಕ್ ಡೌನ್ ಇಲ್ಲ: ನೂತನ ಆಯುಕ್ತ ಮಂಜುನಾಥ್ ಪ್ರಸಾದ್ ಸ್ಪಷ್ಟನೆ https://www.kannadaprabha.com/karnataka/2020/jul/19/there-is-no-again-lockdown-in-bengalure-says-commissioner-manjunath-prasad-424053.html via @KannadaPrabha #Bengaluru #Covid19 #Lockdown #ManjunathPrasad ReadMore Here: https://bit.ly/2WADlyj,2020-07-19 10:12:45+00:00,#Bengaluru #Covid19 #Lockdown #ManjunathPrasad
14,GardenCityUni,#GCU #GardenCityUniversity #Perspective #Conference #COVID19 #Conference #Media #FilmIndusty #NationalConference #Kollywood #Sandalwood #Tollywood #Mollywood #Bollywood #India #Pandemic #Bangalore #University #StayRelevant #Lockdown #Knowledge,2020-07-19 10:05:45+00:00,#GCU #GardenCityUniversity #Perspective #Conference #COVID19 #Conference #Media #FilmIndusty #NationalConference #Kollywood #Sandalwood #Tollywood #Mollywood #Bollywood #India #Pandemic #Bangalore #University #StayRelevant #Lockdown #Knowledge
15,suvarnanewstv,ಲಾಕ್‌ಡೌನ್ ಬದಲಿಗೆ ಸೀಲ್‌ಡೌನ್...! @STSomashekarMLA #Lockdown #Sealdown #Covid19 #KarnatakaFightsCorona,2020-07-19 08:54:54+00:00,#Lockdown #Sealdown #Covid19 #KarnatakaFightsCorona
16,suvarnanewstv,ಭಾನುವಾರದ ಬಾಡೂಟ ಬಲು ಜೋರು; ಪಾಪಣ್ಣ ಮಟನ್ ಸ್ಟಾಲ್ ಮುಂದೆ ಜನವೋ ಜನ..! #Lockdown #Covid19 #Bengaluru,2020-07-19 08:39:26+00:00,#Lockdown #Covid19 #Bengaluru
17,mdarifkhan87,2125 new cases and 49 deaths. For 3rd day on the trot 2K+ cases in Bangalore. This lockdown needs to be extended. The first unlock have caused mayhem here. #COVID19 #Bangalore,2020-07-19 07:24:13+00:00,#COVID19 #Bangalore
18,predict_22,"#Predictions For Today's Matches!! Gameweek 38, LA LIGA 2019-2020 #LaLiga #LaLigaSantander #Messi #footballsback #football #twitchtv #sports #QuedateEnCasa #LFC #covid19 #lockdown #Messi #Fussball #FIFA21 #games #gamer #gaming #TwitchStreamers",2020-07-19 06:31:40+00:00,#Predictions #LaLiga #LaLigaSantander #Messi #footballsback #football #twitchtv #sports #QuedateEnCasa #QuedateEnCasa #LFC #covid19 #lockdown #Messi #Fussball #FIFA21 #FIFA21 #games #gamer #gaming #TwitchStreamers
19,vinay84470390,"covid19 was in India in 2019. As the name suggests, and in Bangalore for sure in Dec 19, may be before it. Now nothing happened when there was no lockdown, Dec,Jan, Feb, Mar. why do you think something will change just because someone named the virus? This is called crying wolf.",2020-07-19 06:25:41+00:00,
20,IYCBasavakalyan,"Our PM imposed nationwide lockdown almost 4 months boasting about his 21 day plan but then he got busy in toppling state governments , spreading jumlas , party campaigns. Such priorities and now we’re about to cross the 1.1 Million mark. #CoronarendraModi #COVID19",2020-07-19 06:13:58+00:00,#CoronarendraModi #COVID19
21,GardenCityUni,#GCU #GardenCityUniversity #Perspective #Webinar #COVID #COVID19 #Conference #NationalConference #Textile #Apparel #Fashion #Bangalore #University #Lookout #GCULookout #StayRelevant #Lockdown #Education #Knowledge,2020-07-19 05:51:01+00:00,#GCU #GardenCityUniversity #Perspective #Webinar #COVID #COVID19 #Conference #NationalConference #Textile #Apparel #Fashion #Bangalore #University #Lookout #GCULookout #StayRelevant #Lockdown #Education #Knowledge
22,NEWS9TWEETS,"#BIGNEWS: #Uttarakhand CM @tsrawatbjp reacted on lockdown in four districts of the state, pointing out that it will help to clamp down on #COVID19 transmissions, especially super-spreaders of the virus. ",2020-07-19 05:26:09+00:00,#BIGNEWS #Uttarakhand #COVID19
23,nagupatil06,Whatever goes around comes around..! Stay home #COVID19India #lockdown #StayHomeStaySafe #IndiaFightsCoronavirus #covid19 ,2020-07-19 05:10:29+00:00,#COVID19India #lockdown #StayHomeStaySafe #IndiaFightsCoronavirus #covid19
24,NEWS9TWEETS,"#BIGNEWS: #UK PM @BorisJohnson said he will only impose another nationwide #COVID19 lockdown as a last resort, comparing the tool to a 'nuclear deterrent'. ",2020-07-19 05:03:13+00:00,#BIGNEWS #UK #COVID19
25,tv9kannada,#Read ರಾಜ್ಯದ ಅನೇಕ ಕಡೆ ಸಂಡೇ ಲಾಕ್​ಡೌನ್ ಉಲ್ಲಂಘನೆ #Coronavirus #Covid19 #Lockdown #SundayLockdown #KannadaNews,2020-07-19 03:38:02+00:00,#Read #Coronavirus #Covid19 #Lockdown #SundayLockdown #KannadaNews
26,HPKonemaneVK,ಕೊರೊನೋತ್ತರ ಸಾಹಿತ್ಯ: ಸೃಜನಶೀಲತೆಗೆ ಹೊಸ ಸ್ವರೂಪ @Vijaykarnataka @editor_vk #Literature #Covid19 #Coronavirus #Lockdown #Books #Creativity @rohinakshashirl http://konemane.com/post-covid19-literature/,2020-07-19 03:17:50+00:00,#Literature #Covid19 #Coronavirus #Lockdown #Books #Creativity
27,NEWS9TWEETS,"#BIGNEWS: #WestBengal Chief Secy #RajivSinha said that complete lockdown will not be enforced across the entire state, but only in containment zones in near future. He added that there was no need to panic over the #COVID19 situation in the state as it was under control. ",2020-07-19 03:00:37+00:00,#BIGNEWS #WestBengal #RajivSinha #COVID19
28,balajiworld,"When it should be the opposite. @BlrCityPolice should be enforcing a strict lockdown including sealing off all entrance points to the two Bengaluru districts. And the BBMP should be focusing on COVID19 triaging and community aspects like masks, social distancing etc.",2020-07-19 02:46:56+00:00,
29,tv9kannada,"#Read ಸೋಮವಾರ ಬೆಳಗಿನವರೆಗೂ 33 ಗಂಟೆ ಕರುನಾಡು ಫುಲ್ ಸ್ತಬ್ಧ, ಇವತ್ತಾದ್ರೂ ಫಾಲೋ ಆಗುತ್ತ ರೂಲ್ಸ್ #Coronavirus #Covid19 #Lockdown #KarnatakaLockdown #KannadaNews",2020-07-19 02:08:13+00:00,#Read #Coronavirus #Covid19 #Lockdown #KarnatakaLockdown #KannadaNews
30,utkarshsomvansh,विगत कई दशकों से इस सिपाही का तबादला गैर जनपद नही हुआ है और प्रयागराज जिले मे तैनात सिपाही अजय सिंह निजि वाहनों का व्यवसाय दशकों से कर रहा है। #COVID19 के समय मे भी ये वर्दी पहन के सवारी गाडी चला के #Lockdown मे लोगो से हजारों रूपये ले के उन्हें प्रदेश के अन्य जिलों मे छोड़ता है।,2020-07-18 20:22:07+00:00,#COVID19 #Lockdown
31,NetitharamNews,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StaySafe #pmo #narendramodi #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews #icmr @bharatbiotech,2020-07-18 17:17:28+00:00,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StayHome #StaySafe #pmo #narendramodi #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews #icmr
32,publictvnews,"ಬೆಂಗಳೂರಲ್ಲಿ ಲಾಕ್‍ಡೌನ್ ಮುಂದುವರಿಯುತ್ತಾ?- ಸಚಿವರಲ್ಲಿ ಗೊಂದಲವೋ, ಗೊಂದಲ https://tinyurl.com/yyvuwg4u #CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown",2020-07-18 16:13:49+00:00,#CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown
33,JayeshRaghavan,And we are in Denial.. All states continue to improve while #Karnataka continues to deteriorate.. Like told to us - God Save us.. #Covid19 #Bangalore This is really worrying &amp; here transfers &amp; blame game galore.. #Lockdown failing ,2020-07-18 15:16:15+00:00,#Karnataka #Covid19 #Bangalore #Lockdown
34,publictvnews,"ಕೊರೊನಾ ರುದ್ರ ತಾಂಡವ - ರಾಜ್ಯದಲ್ಲಿ 4,537 ಹೊಸ ಪ್ರಕರಣಗಳು - 11 ಜಿಲ್ಲೆಗಳಲ್ಲಿ ನೂರರ ಗಡಿ ದಾಟಿದ ಕೊರೊನಾ - ಬೆಂಗಳೂರಿನಲ್ಲಿ 2125, ದ.ಕನ್ನಡ 509 ಮಂದಿಗೆ ಸೋಂಕು https://tinyurl.com/y6k55vlo #CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown",2020-07-18 15:09:58+00:00,#CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown
35,publictvnews,"ಕೊರೊನಾ ರುದ್ರ ತಾಂಡವ - ರಾಜ್ಯದಲ್ಲಿ 4,537 ಹೊಸ ಪ್ರಕರಣಗಳು - 11 ಜಿಲ್ಲೆಗಳಲ್ಲಿ ನೂರರ ಗಡಿ ದಾಟಿದ ಕೊರೊನಾ - ಬೆಂಗಳೂರಿನಲ್ಲಿ 2125, ದ.ಕನ್ನಡ 509 ಮಂದಿಗೆ ಸೋಂಕು #CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown",2020-07-18 15:04:05+00:00,#CoronaVirus #COVID19 #Karnataka #Bengaluru #Lockdown #BengaluruLockdown
36,NetitharamNews,#ysjagan #coronavirus #coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StaySafe #pmo #icmr #pib #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews,2020-07-18 14:54:24+00:00,#ysjagan #coronavirus #coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StayHome #StaySafe #pmo #icmr #pib #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews
37,ShailBoro,.. done people riding bike.. it's now our turn #COVID19 #lockdown ,2020-07-18 14:33:57+00:00,#COVID19 #lockdown
38,Onaesimus,#ಉತ್ತರಕೊಡಿಬಿಜೆಪಿ #AnswerUsBJP Double standards @BSYBJP in handling Covid19 &amp; allowing some indusries to run during lockdown has raised concerns over increased the pandaemic #ದೇವರೇಗತಿ @sriramulubjp @INCIndia @INCKarnataka @DKShivakumar @rajeevgowda @annatarajgowda,2020-07-18 14:25:59+00:00,#AnswerUsBJP
39,publictvnews,ಲಾಕ್‍ಡೌನ್ ವಿಸ್ತರಣೆ ಸುಳಿವು ನೀಡಿದ: ಸಚಿವ ನಾರಾಯಣಗೌಡ https://tinyurl.com/y3fotam9 #CoronaVirus #COVID19 #Lockdown #Narayanagowda,2020-07-18 13:38:44+00:00,#CoronaVirus #COVID19 #Lockdown #Narayanagowda
40,PratidhvaniNews,ಆಶಾ ಕಾರ್ಯಕರ್ತೆಯರ ಬೇಡಿಕೆ ಈಡೇರಿಸುವಂತೆ ಸಿದ್ದರಾಮಯ್ಯ ಆಗ್ರಹ Former CM Siddaramaiah urges govt to fulfill Asha Worker's demands https://www.pratidhvani.com/state/2020/07/18/demand-asha-karyakarte @siddaramaiah @INCKarnataka @CMofKarnataka @BJP4Karnataka #AshaWorkers #Covid19 #lockdown,2020-07-18 13:32:45+00:00,#AshaWorkers #Covid19 #lockdown
41,Pramila_Pikachu,"are you not feeling proud as a Bitcoin Miner ? Earning during COVID19 #Lockdown ? i feel proud - this is also a Job ""Working as Miner"" is it a joke ?",2020-07-18 13:27:22+00:00,#Lockdown
42,kanbalkaninews,https://kannada.balkaninews.com/news/how-do-the-bangalore-police-know-kelsa-modtare/c78311-w2986-cid1070806-s11456.htm @deepolice12 #Police #Bangalore #Lockdown #Covid19 #StayhomeStaySafe,2020-07-18 12:41:36+00:00,#Police #Bangalore #Lockdown #Covid19 #StayhomeStaySafe
43,OneindiaKannada,ಕೊಡಗಿನಲ್ಲಿ ಹೆಚ್ಚುತ್ತಿದೆ ಕೊರೊನಾ; ಆದರೂ ಲಾಕ್‌ಡೌನ್ ಯಾಕಿಲ್ಲ? #Lockdown #Kodagu #COVID19 ,2020-07-18 12:17:42+00:00,#Lockdown #Kodagu #COVID19
44,ThumbSpark_C,We Bengalurians are not good at following the #COVID19 #lockdown given a chance we will travel to Coorg or do house parties...ask us to join work...we will make sure we don’t step out... #karnataka is fast climbing the ladder to compete with #delhi now,2020-07-18 12:15:35+00:00,#COVID19 #lockdown #karnataka #delhi
45,Sherlockbalaji,"On 25 Jun 2020 I said, ""#covid19 quarantine #lockdown will increase bcoz Ku is 12L (confinement)"" for Jul to Oct 2020 period. https://twitter.com/Sherlockbalaji/status/1276114948561625090",2020-07-18 11:41:53+00:00,#covid19 #lockdown
46,LoFoodsIndia,"Comment your answers below -- -- Stay home, we'll have your keto supplies home delivered -- -- #lofoods #corona #covid19 #golocal #stayhome #getlo #lowcarbdiet #lockdown #healthydiet #keto #desiketo #ketodiet #trendingformat #topicalspot #momentmarketing #Indianketo",2020-07-18 11:33:14+00:00,#lofoods #corona #covid19 #golocal #stayhome #stayhome #getlo #lowcarbdiet #lockdown #healthydiet #keto #desiketo #ketodiet #trendingformat #topicalspot #momentmarketing #Indianketo
47,Divesh_Soni,So so done with lockdown! #COVID19,2020-07-18 11:28:27+00:00,#COVID19
48,publictvnews,ಬಳ್ಳಾರಿಯಲ್ಲಿ ಸದ್ಯ ನೋ ಲಾಕ್‍ಡೌನ್: ಆನಂದ್ ಸಿಂಗ್ https://tinyurl.com/y2ewsurb #Bellary #AanandSingh #CoronaVirus #Covid19 #Lockdown,2020-07-18 10:22:24+00:00,#Bellary #AanandSingh #CoronaVirus #Covid19 #Lockdown
49,publictvnews,"ಕೊರೊನಾ ಎಫೆಕ್ಟ್- ಶ್ರಾವಣ ಮಾಸದ ಪುರಾಣ, ಧಾರ್ಮಿಕ ಕಾರ್ಯಗಳಿಗೂ ಬ್ರೇಕ್ https://tinyurl.com/yykpyge3 #CoronaVirus #COVID19 #Temple #Lockdown #Dharwad",2020-07-18 09:52:05+00:00,#CoronaVirus #COVID19 #Temple #Lockdown #Dharwad
50,MacMacha1,"Even your uncles are bored during the corona lockdown. With nothing to do at home, what exactly are they doing? Click the link below for the complete video... https://www.youtube.com/watch?v=eX4Pc7AZuyQ&amp;t=60s #macmacha #unclesduringlockdown #uncles #lockdown #corona #covid19 #funnyvideos #comedy",2020-07-18 07:02:46+00:00,#macmacha #unclesduringlockdown #uncles #lockdown #corona #covid19 #funnyvideos #comedy
51,tv9kannada,People Defy Lockdown Norms In Bengaluru; Throng Markets To Buy Essentials Video Link ► https://youtu.be/5rhl3sXiZxM #Coronavirus #Covid19 #BengaluruLockdown #LockdownViolation #Market #TV9Kannada #KannadaNews,2020-07-18 07:00:56+00:00,#Coronavirus #Covid19 #BengaluruLockdown #LockdownViolation #Market #TV9Kannada #KannadaNews
52,mdarifkhan87,"2208 new cases and 75 deaths, for 3rd consecutive days cases around 2K, yet CM says lockdown won't be extended. Yeah, lets get everyone infected in the name of herd immunity. Situation in Bangalore, heading from bad to worse. #COVID19 #Bangalore",2020-07-18 06:43:07+00:00,#COVID19 #Bangalore
53,NetitharamNews,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StaySafe #pmo #icmr #pib #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews,2020-07-18 05:36:51+00:00,#coronaoutbreak #coronapandemic #coronaepidemic #COVID19 #netitharamnews #netitharam #coronadeaths #worldfightscorona #IndiaFightsCorona #StayHome #StayHome #StaySafe #pmo #icmr #pib #modi #lockdown #frontlinewarriors #frontlineworkers #coronaupdates #coronanews
54,suvarnanewstv,"ಇಲ್ಲ ನಿಯಂತ್ರಣ, ಬೆಂಗಳೂರಲ್ಲಿ ಹೆಚ್ಚಾಗ್ತಿದೆ ಕೊರೊನಾ..! #Covid19 #Bengaluru #Lockdown ",2020-07-18 05:33:09+00:00,#Covid19 #Bengaluru #Lockdown
