,User,Text,Date,Hashtags
0,Ritzee17,"I googled my symptoms , It turns out i just need a vacation #quarantinelife #quarantine #covid19 #boredinthehouse @Ghar Pe Hu Lockdown Ki Waje Se https://www.instagram.com/p/CC0ueYKJcz9nbEsSPynMoGWfzWEpT1CJe_eIcA0/?igshid=1nstdlzarbi29",2020-07-19 12:34:55+00:00,#quarantinelife #quarantine #covid19 #boredinthehouse
1,rg_rahulgoyal,Going nowhere … isn’t about turning your back on the world; it’s about stepping away now and then so that you can see the world more clearly and love it more deeply. #covid19 #lockdown #stayhealthy #keepdistance… https://www.instagram.com/p/CCynYWopSLe/?igshid=3xwjn0r9o1pm,2020-07-18 16:54:27+00:00,#covid19 #lockdown #stayhealthy #keepdistance
2,PIBChandigarh,"#CoronaVirusUpdates: ਭਾਰਤ ਵਿੱਚ #COVID19 ਰਿਕਵਰੀ ਦਰ 18 ਜੁਲਾਈ, 2020 ਨੂੰ 62.94% ਹੋ ਗਈ ਤੇ 63% ਤੱਕ ਪਹੁੰਚ ਗਈ। 25 ਮਾਰਚ,2020 ਨੂੰ #lockdown ਦੀ ਸ਼ੁਰੂਆਤ ਤੋਂ ਬਾਅਦ ਭਾਰਤ ਦੀ #COVID19 ਰਿਕਵਰੀ ਦਰ 'ਚ ਸੁਧਾਰ। #IndiaFightsCorona @PIB_India @MIB_India @MoHFW_INDIA @ROBChandigarh @mygovindia",2020-07-18 12:38:40+00:00,#CoronaVirusUpdates #COVID19 #lockdown #COVID19 #IndiaFightsCorona
3,chandigarhcity,Several parents on Friday held a protest outside Lawerance Public Senior Secondary School in Sector 51 against the school’s decision to charge fees despite classes being suspended amid the Covid-19 lockdown. #chandigarh #schools #covid19,2020-07-18 09:51:05+00:00,#chandigarh #schools #covid19
4,khuranaab,It is my humble request govt not to ignore COVID19 issue&amp; take this up with concerned authorities on priority. Plzi initiate strict lockdown standards to control this Plz declare relief measures for middle class people like me. Middleclass is ignored by Centre &amp;state govt,2020-07-18 05:53:36+00:00,
5,khuranaab,It is my humble request govt not to ignore COVID19 issue&amp; take this up with concerned authorities on priority. Plzi initiate strict lockdown standards to control this Plz declare relief measures for middle class people like me. Middleclass is ignored by Centre &amp;state govt,2020-07-18 05:52:46+00:00,
6,Shreyaaah1,WHY CAN'T WE TAKE THIS PERIOD IN A POSITIVE MANNER AND DISCOVER THE BEST OUT OF OURSELVES #ThursdayThoughts #Quarantine #life #lockdown #COVID19 #WorldYouthSkillsDay #SkillsChangeLives #positivity,2020-07-15 17:27:42+00:00,#ThursdayThoughts #Quarantine #life #lockdown #COVID19 #WorldYouthSkillsDay #SkillsChangeLives #positivity
7,vpsbadnore,#Covid19 #WarRoom #July10 Residents are advised to take corona threat seriously not to violate the health norms stay indoors&amp;must wear masks when outside Best way to contain spread of infection. Violations &amp; casual attitude can invite lockdown again or for weekends inTricity,2020-07-10 15:04:13+00:00,#Covid19 #WarRoom #July10
8,Paswangalaxy, If you want to buy this safety equipment to fight with #Corona dm or call #COVIDー19 #coronavirus #COVID19 #lockdown #StayHomeStaySafe #StayHomeSaveLives,2020-07-06 18:37:40+00:00,#Corona #COVID #coronavirus #COVID19 #lockdown #StayHomeStaySafe #StayHomeSaveLives
9,chd_diaries,Mohali reported 14 fresh Covid-19 cases on Sunday 36F from Phase 4 Mohali 1 each from Derabassi & Lalru 11 from Behda Village Total: 302 Active: 79 #mohali #corona #covid19 #lockdown #mohalidiaries #chandigarh #tricity #3n2 #phase4mohali,2020-07-05 11:10:47+00:00,#mohali #corona #covid19 #lockdown #mohalidiaries #chandigarh #tricity #3n2 #phase4mohali
