,User,Text,Date,Hashtags
0,dt_next,"#Jammu district will be under a #lockdown on weekends, starting from July 24, to prevent any further spike in #Covid19 cases, it was announced on Sunday. ",2020-07-19 19:38:17+00:00,#Jammu #lockdown #Covid19
1,NewIndianXpress,"In view of the increase in the number of #COVID19 cases, lockdown in Thiruvananthapuram has been extended till July 28. Follow #COVID19India LIVE updates here.",2020-07-19 16:45:55+00:00,#COVID19 #COVID19India
2,airnews_Chennai,நாமக்கல் மாவட்டத்தில் கொரோனா பாதித்த 95 இடங்களில் வீதிகளை விட்டு மக்கள் வெளியே வருவதை ட்ரோன் மூலம் கண்காணிக்கப்பட்டது. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN,2020-07-19 15:21:05+00:00,#Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
3,minnambalamnews,சமூக இடைவெளி தியேட்டர்: பாரீசில் சீன் நதியில் சினிமா! கொரோனா தொற்று ஏற்படாத வகையில் மக்கள் சமூக இடைவெளியுடன் திரைப்படம் பார்க்க புதிய உத்தி! #FloatingTheater #Lockdown #Covid19 #Minnambalam https://minnambalam.com/entertainment/2020/07/19/48/latest-tamil-cinema-news-paris-floating-movie-theater,2020-07-19 13:17:52+00:00,#FloatingTheater #Lockdown #Covid19 #Minnambalam
4,airnews_Chennai,COVID-19 Positive Deaths (19.07.2020) #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN,2020-07-19 12:44:16+00:00,#Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
5,airnews_Chennai,Tamil Nadu COVID 19 – District Wise Case Details (19/07/2020) #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN,2020-07-19 12:43:27+00:00,#Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
6,ThanthiTV,(19/07/2020) தமிழகத்தில் புதிய உச்சத்தை தொட்டது கொரோனா #Lockdown #COVID19 ,2020-07-19 12:43:08+00:00,#Lockdown #COVID19
7,airnews_Chennai,"#BREAKING || சென்னையில் தற்போது கோவிட்-19 க்கான சிகிச்சை பெற்று வருபவர்களின் எண்ணிக்கை 15,042- மாநில மக்கள் நல்வாழ்வுத்துறை. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN",2020-07-19 12:41:18+00:00,#BREAKING #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
8,ThanthiTV,* மற்ற மாவட்டங்களில் அதிகரிக்கும் கொரோனா பாதிப்பு #Lockdown #COVID19 ,2020-07-19 12:41:08+00:00,#Lockdown #COVID19
9,ThanthiTV,"* அதிகரிக்கும் உயிரிழப்பால் அதிர்ச்சியில் மக்கள் *சென்னையில் ஒரே நாளில் 1,254 பேருக்கு தொற்று உறுதி * சென்னையில் மட்டும் இதுவரை - 85,852 பேர் பாதிப்பு #Lockdown #COVID19 ",2020-07-19 12:41:08+00:00,#Lockdown #COVID19
10,ThanthiTV,"* இன்று ஒரே நாளில் 78 பேர் கொரோனாவுக்கு உயிரிழப்பு * இதுவரை உயிரிழந்தோர் எண்ணிக்கை 2,481 * அரசு மருத்துவமனையில் - 78 பேர், தனியாரில் - 23 பேர் உயிரிழப்பு #Lockdown #COVID19 ",2020-07-19 12:41:07+00:00,#Lockdown #COVID19
11,ThanthiTV,"#Breaking * தமிழகத்தில் ஒரே நாளில் 5 ஆயிரத்தை நெருங்கிய கொரோனா பாதிப்பு * ஒரே நாளில் 4,979 பேருக்கு தொற்று உறுதி * மொத்த பாதிப்பு 1.70 லட்சத்தை கட‌ந்த‌து. #Lockdown #COVID19 ",2020-07-19 12:41:07+00:00,#Breaking #Lockdown #COVID19
12,airnews_Chennai,"#BREAKING || தமிழகத்தில் கோவிட்-19 க்கான பரிசோதனை இதுவரை 18,55,817 பேருக்கு செய்யப்பட்டுள்ளது - மாநில மக்கள் நல்வாழ்வுத்துறை. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN",2020-07-19 12:39:21+00:00,#BREAKING #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
13,airnews_Chennai,"#BREAKING || தமிழகத்தில் கோவிட்-19 க்கான பரிசோதனை இன்று மட்டும் 51,640 பேருக்கு செய்யப்பட்டுள்ளது - மாநில மக்கள் நல்வாழ்வுத்துறை. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN",2020-07-19 12:39:11+00:00,#BREAKING #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
14,airnews_Chennai,#TNCoronaUpdate: தமிழகத்தில் உள்ள மொத்த கோவிட்-19 பரிசோதனை நிலையங்கள் 112 (57 அரசு + 55 தனியார்) #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN,2020-07-19 12:37:58+00:00,#TNCoronaUpdate #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
15,airnews_Chennai,#TNCoronaUpdate: கோவிட்-19 தொற்று அடைந்தவர்களில் இதுவரை 69.08% குணமடைந்துள்ளனர். #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN,2020-07-19 12:37:25+00:00,#TNCoronaUpdate #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
16,airnews_Chennai,"#BREAKING || தமிழகத்தில் தற்போது வரை கோவிட்-19 க்கான சிகிச்சை பெற்று வருபவர்களின் எண்ணிக்கை 50,294 - மாநில மக்கள் நல்வாழ்வுத்துறை. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN",2020-07-19 12:36:04+00:00,#BREAKING #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
17,airnews_Chennai,"#BREAKING || தமிழகத்தில் கோவிட்-19-னால் பாதித்தவர்களில் இதுவரை 1,17,915-பேர் குணமடைந்து வீடு திரும்பியுள்ளனர் - மாநில மக்கள் நல்வாழ்வுத்துறை. #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN",2020-07-19 12:35:51+00:00,#BREAKING #Lockdown #TamilNadu #Corona #StaySafe #COVID19 #TN
