,Date,Username,Tweet,Hashtags
0,2020-07-11 17:16:42+00:00,shubhampawanman,CM @OfficeofUT is busy managing his Nagarsevak's and doing Transfers for personal benefits. In this 3Wheel Govt. main POWER is with PAWAR ! @AjitPawarSpeaks #Mumbai #MaharashtraPolitics #lockdown #COVID__19,#Mumbai #MaharashtraPolitics #lockdown #COVID__19
1,2020-07-11 17:16:11+00:00,shubhampawanman,"Why you @AUThackeray again &amp; again prove that, Yes I am also Pappu. What definition of tourism are u telling us? Citizen's of Maharashtra are seeing what @Dev_Fadnavis is doing, he is on-ground in hospital's and covid center's to check all facilities and conditions. #Maharashtra",#Maharashtra
2,2020-07-11 17:15:52+00:00,shubhampawanman,"Why you @AUThackeray again &amp; again prove that, Yes I am also Pappu. What definition of tourism are u telling us? Citizen's of Maharashtra are seeing what @Dev_Fadnavis is doing, he is on-ground in hospital's and covid center's to check all facilities and conditions. #Maharashtra",#Maharashtra
3,2020-07-11 17:11:59+00:00,shubhampawanman,Ask your Pappa to move out of home and see the worst condition & health management of Maharashtra in his Sarkar... @AUThackeray no leader have agressively visited hospital's and covid center's as @Dev_Fadnavis is visiting ! Your Pappa can just be inside &amp; manage Nagarsevak's ,
4,2020-07-11 17:09:02+00:00,shubhampawanman,CM @OfficeofUT is busy managing his Nagarsevak's and doing Transfers for personal benefits. In this 3Wheel Govt. main POWER is with PAWAR ! @AjitPawarSpeaks #Mumbai #MaharashtraPolitics #lockdown #COVID__19,#Mumbai #MaharashtraPolitics #lockdown #COVID__19
5,2020-07-05 07:52:52+00:00,vishw_Vishwas,"इस वैश्विक महामारी #COVID__19 में ये मास्क आपकी और से गिफ्ट है क्या..? अगर आपकी औरसे गिफ्ट है तो, देश आपका सदैव ऋनी रहेंगा, समाज आपको सदैव याद रखेंगा।",#COVID__19
6,2020-05-30 09:16:25+00:00,SwapnilIts,"ये वक़्त भी गुज़र जाएगा, सुनहरा कल फिर से आएगा, खुशियां देगी फिर से दस्तक... #modi2 #coronavirus #Trump #1YearofModi2 #Modi1Year #SaturdayThoughts #COVID #COVID2019 #StayHomeSaveLives",#modi2 #coronavirus #Trump #1YearofModi2 #Modi1Year #SaturdayThoughts #COVID #COVID2019 #StayHomeSaveLives
7,2020-05-27 09:53:43+00:00,Swapnil21247348,कमाल कर दिया आपणे छेदिसिंग जी @SonuSood #सोनू_सूद_रियल_लाइफ_हीरो #COVID__19,#COVID__19
8,2020-05-25 08:39:36+00:00,harshalwagh007,"Ashok Chavan Tested Positive For COVID-19, Shall I Call It A 'आदर्श' इन्फेक्शन?",
9,2020-05-24 13:34:59+00:00,PoonamThakur111,"COVID-19 ने जोधपुर जेल के कैदियों को भी अपनी चपेट मे ले लिया है। जेलों में क्षमता से अधिक कैदी, स्वच्छता की कमी व जाँच के अभाव से कैदियों का जीवन खतरे में है! अतः संक्रमंण से बचाव हेतु कैदियों के लिए पैरोल ही एक उपाय हो सकता है। #CoronaRiskInJail",#CoronaRiskInJail
10,2020-05-24 13:31:25+00:00,PoonamThakur111,The cramped prison facilities are serving as breeding grounds for COVID-19. #CoronaRiskInJail,#CoronaRiskInJail
11,2020-05-24 13:13:02+00:00,PoonamThakur111,The Centers for Disease Control & Prevention says there is higher risk of severe complications from COVID-19 for the elderly &amp; those with chronic health conditions. These health concerns are magnified within incarcerated settings. #CoronaRiskInJail,#CoronaRiskInJail
12,2020-05-24 12:57:16+00:00,PoonamThakur111,"Delhi has three prisons — Rohini, Mandoli, and Tihar. There are 18 positive Covid-19 cases at Rohini Jail it indicates fully #CoronaRiskInJail",#CoronaRiskInJail
13,2020-05-21 11:51:33+00:00,PoonamThakur111,"#महामारियों_से_कैसे_हो_सुरक्षा ? Suffering from COVID-19, the world had to ultimately turn to vegetarianism &amp; principles of our great saints. Why to rectify our faults after stumbling over a crisis? Why not follow advice of saints &amp; live a happy life?? ",
14,2020-05-17 12:33:54+00:00,PoonamThakur111,"The Australian media accolades the Covid relief works inspired by Sant Shri Asharamji Bapu. See the coverage of ""THE BRISBANE INDIAN TIMES"" #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा",
15,2020-05-17 12:33:01+00:00,PoonamThakur111,I would like to admire these Covid relief works of Sant Shri Asharamji Ashrams wholeheartedly. #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा,
16,2020-05-17 12:32:49+00:00,PoonamThakur111,"Undoubtedly, Sant Shri Asharamji Bapu is a ""Benefactor of Deprived"". Covid relief works inspired by him speak volumes about this. #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा",
17,2020-05-17 12:32:13+00:00,PoonamThakur111,There is incredible value in being of service to others. Covid-relief services by Sant Shri Asaram Bapu Ji ashrams is bringing smiles on faces of thousands of needy people. #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा,
18,2020-05-17 12:31:32+00:00,PoonamThakur111,Covid-relief services by Sant Shri Asharamji Bapu Ashrams inspires to replace selfish striving with selfless service. #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा https://youtu.be/nbrshF6l5u8,
19,2020-05-17 12:31:18+00:00,PoonamThakur111,There is no higher religion than human service. Kudos to disciples of Sant Shri Asharamji Bapu for the large-scale Covid-relief services. #आशारामजी_आश्रमों_द्वारा_कोरोना_सेवा,
20,2020-05-12 12:54:15+00:00,PoonamThakur111,"Mumbai hit the hardest by Covid-19, It has become the capital of Corona in country. In Arthur Road jail as well as central jail, hundreds of prisoners found Corona positive. In order to save their lives, Jail Authority should #GrantParoleToSecurePrisoners for quarantine purpose.",#GrantParoleToSecurePrisoners
21,2020-05-12 12:52:38+00:00,PoonamThakur111,Overcrowded jails are emerging as Corona hotspot. Arthur Road prison authority has informed that d total number of positive Covid-19 cases reached to184 of which 26 R staff members n rest r inmates. Need of the hour is to #GrantParoleToSecurePrisoners,#GrantParoleToSecurePrisoners
22,2020-05-12 12:51:41+00:00,PoonamThakur111,"The way Corona is spreading, seems d 3rd stage of community transmission is hitting. Now crowded jails R becoming center of Covid-19. Agra jail inmate's Covid-19 death triggers panic. 14 prisoners,16 wardens quarantined. #GrantParoleToSecurePrisoners https://www.news18.com/amp/news/india/agra-jail-inmates-covid-19-death-triggers-panic-14-prisoners-16-wardens-quarantined-2613967.html#aoh=15891801335942&amp;referrer=https%3A%2F%2Fwww.google.com&amp;amp_tf=From%20%251%24s",#GrantParoleToSecurePrisoners
23,2020-05-12 12:49:06+00:00,PoonamThakur111,#GrantParoleToSecurePrisoners Death of Agra Central jail's inmate due to Covid-19 is an alarm for safety of prisoners. Prisoners must be released as there is a threat to their lives. https://www.news18.com/amp/news/india/agra-jail-inmates-covid-19-death-triggers-panic-14-prisoners-16-wardens-quarantined-2613967.html#aoh=15891801335942&amp;referrer=https%3A%2F%2Fwww.google.com&amp;amp_tf=From%20%251%24s,#GrantParoleToSecurePrisoners
24,2020-05-10 13:26:44+00:00,vishw_Vishwas,"बुलढाना जिला कोरोना मुक्त करने के लिए आपका धन्यवाद @oiseaulibre3 मैडम तथा सभी सरकारी अधिकारी, पोलिस, डॉक्टर और सफाई कर्मचारियों का हृदय से धन्यवाद। @buldhanapolice1 @InfoBuldhana @Covid_19Indian @oiseaulibre3 #coronavirusinindia #CoronaFighters",#coronavirusinindia #CoronaFighters
25,2020-05-07 10:30:43+00:00,PoonamThakur111,"Watch the highlights of Covid relief works &amp; other Humanitarian endeavors of Sant Shri Asharamji Ashrams, performed during this disaster period in the May Edition of #ऋषिदर्शन_वीडियो_मैगज़ीन http://rishidarshan.org",
26,2020-05-07 10:23:40+00:00,PoonamThakur111,"Amid the National shut down due to Corona crisis, the widespread Covid-relief services have been carried out across the Nation by Sant Shri Asharamji Bapu's Ashrams. Do watch in #ऋषिदर्शन_वीडियो_मैगज़ीन May edition. https://youtu.be/RWRUjsavHNI",
27,2020-05-07 01:28:45+00:00,manishmantri41,दुनिया के अन्य देशों की दशा देखो और अपने देश की #Covid_19 के विरुद्ध में चल रही लड़ाई आप @narendramodi जी के मुरीद हो जाओगे..! #lockdownextension,#Covid_19 #lockdownextension
28,2020-05-07 01:24:18+00:00,manishmantri41,"कुछ देवपुरुशो को अभी की #Covid_19 की परिस्थितियों पर टिका टिप्पणी करने में मज़ा आरहा है, मुँह फाड़ कर बोल देना बहुत आसन है.. आपके पास सिर्फ़ समस्या है..? कोई समाधान भी हो तो बताए..##lockdownextension",#Covid_19 #lockdownextension
29,2020-05-06 11:17:43+00:00,PoonamThakur111,Sant Shri Asharamji Bapu and his ashrams are serving the humanity in this covid 19 situation to help the needy ones and sought out the nation challenges. #CovidReliefWorkByAsharamjiBapuAshram,#CovidReliefWorkByAsharamjiBapuAshram
30,2020-05-02 05:01:27+00:00,GanapatInaniya,लॉकडाउन 3.0 : राजस्थान में ग्रीन-ओरेंज- रेड जिले #Covid_19 #StayHome @hanumanbeniwal @ashokgehlot51 @RLPINDIAorg @gssjodhpur @vishvendrabtp #StayHomeSaveLives #RajasthanCoronaUpdate @RandeepChoudhry @NarayanBeniwal7 @PMOIndia @ErPukhrajgarg,#Covid_19 #StayHome #StayHome #StayHomeSaveLives #RajasthanCoronaUpdate
31,2020-04-23 10:12:58+00:00,yash_dane_,COVID-19 | |Support| - [Mama] ,
32,2020-04-22 19:01:36+00:00,PratikMantri111,#IsupportArnabGoswami #Covid_19,#IsupportArnabGoswami #Covid_19
33,2020-04-16 16:09:03+00:00,manishmantri41,"पेड़ ज़हरीले फ़ल देने लगे तो, फ़ल फेंकने से कोई फायदा नहीं., सीधा पेड़ ही काट देना चाहिये..! #Covid_19 #covidindia #COVID #Lockdownextention",#Covid_19 #covidindia #COVID #Lockdownextention
34,2020-04-14 17:42:41+00:00,manishmantri41,"Actionable Rumours and punishable offence, but what @AUThackeray told is also correct, that @CMOMaharashtra can’t handle #MumbaiMigrants in such #Covid_19 situations..! I fully agreed with addi bhai.. #MumbaiLockdown #MumbaiMigrantMystery #MumbaiCovidHorror",#MumbaiMigrants #Covid_19 #MumbaiLockdown #MumbaiMigrantMystery #MumbaiCovidHorror
35,2020-04-14 12:42:44+00:00,PoonamThakur111,"Police, medical staff, sanitation workers etc - these are WARRIORS of the nation who are protecting us from COVID-19. #LetUsPrayForCoronaFighters",#LetUsPrayForCoronaFighters
36,2020-04-14 12:39:08+00:00,PoonamThakur111,कोरोना से लोगो को बचाने वाले Doctors से लोग अच्छा व्यवहार करें I उन्होंने अपनी जान जोखिम में डाली है ताकि जनता की रक्षा हो इस covid-19 सेI खुद को भी संक्रमण हो सकता है इसकी चिंता न कर जनसेवा करने में जुटे है ये योद्धा। #LetUsPrayForCoronaFighters,#LetUsPrayForCoronaFighters
37,2020-04-13 13:53:02+00:00,PoonamThakur111,"विपत्ति समय देश को सन्त जन ही उबारते हैं ये स्पष्ट दिख रहा है Covid-19 के चलते Lockdown स्थिति में ! Sant Shri Asharamji Bapu प्रेरणा से विभिन्न स्थानों पर भोजन भंडारे, राशन किट्स, फूड पैकेट्स बांटे जा रहे हैं आश्रमो द्वारा। #विश्व_सेवा_दिवस",
38,2020-04-13 13:38:32+00:00,NileshSaboo,Do you mean if you contribute to state disaster management authority it will qualify but if you contribute to COVID-19 fund it will not qualify,
39,2020-04-11 07:53:31+00:00,sumitbagrecha,#COVID__19 #Coronafighters,#COVID__19 #Coronafighters
40,2020-04-11 01:42:47+00:00,manishmantri41,"कृपया घर पर रहें लॉकडाउन और सामाजिक दुरी का पालन करें ताकि आप स्वयं, परिवार और समुदाय को सुरक्षित रख सके..! #COVID-19 #coronavirusinindia",#COVID #coronavirusinindia
41,2020-04-08 15:29:27+00:00,manishmantri41,"अगर ज़िंदगी से हात नहीं धोना.., तो रोज़ाना हात साबुन से धोना..! @DrKumarVishwas @rahatindori @acpoddar @rahulrsomani @_Rahuld @MilindSomani @PratikMantri111 @shubham_0192 @mantripiyush @sharma0966 @manoj_indore @KiranLokmat @paragbangad #COVID #CoronaInMaharashtra",#COVID #CoronaInMaharashtra
42,2020-04-05 18:07:10+00:00,ChaudhariSujam,"Hello friends Be happy enjoy every moment of your life is too short I feel, but today very danger situation& Are facing! In a my country all people face on the covid-19 coronavirus but Don't worry we will surely… https://www.instagram.com/p/B-m9CFSnFnC/?igshid=1lu651ywkh2q5",
43,2020-04-05 15:59:41+00:00,KrishnaCharkha,We stand with @narendramodi ji to express our social gratitude. 9 baje 9 minute we follow n we hope that everyone gets energy to fight COVID-19. We thanks every Corona Fighters. -CA Krishna Charkha (AIR 34) #9pmDiwaliAtABP #9baje9mintues @ABPNews @aajtak @ZeeNews @PMOIndia,#9pmDiwaliAtABP #9baje9mintues
44,2020-04-05 15:27:25+00:00,ChaudhariSujam,"Hello friends Be happy enjoy every moment of your life is too short I feel, but today very danger situation& Are facing In a my country all people face on the covid-19 coronavirus but Don't worry we will surely… https://www.instagram.com/p/B-mqv_0Hggr/?igshid=aid6p1ourgnu",
45,2020-03-31 08:42:33+00:00,manishmantri41,"अखिल भारतीय माहेश्वरी महासभा के, विदर्भ प्रदेश के अंतर्गत वाशिम तहसील माहेश्वरी संगठन(समाज) की और से देश में आई #COVID आपदा की घड़ी में एक छोटी सी मदद..! @narendramodi @ombirlakota @ShyamSJaju @PMOIndia @kiransnm @iRupND #PMCaresFunds – at Washim",#COVID #PMCaresFunds
46,2020-03-27 06:04:02+00:00,manishmantri41,सभी इंटरनेशनल फ्लाइट्स पर 14 APRIL तक के लिए रोक लगा दी गई है..! #COVID-19,#COVID
47,2020-03-22 17:58:54+00:00,manishmantri41,"महाभारत के बाद ऎसा शंख नाद पृथ्वी पर युगों युगों बाद हुआ है बुराई पर अच्छाई की जीत, जय सनातन धर्म #Covid_19india #JantaCurfew",#Covid_19india #JantaCurfew
48,2020-03-19 07:22:14+00:00,jpdiamond22228," simple steps to protect yourself from the ongoing Novel Coronavirus Stay healthy. Stay safe #OneFamily #covid_19 @Rajampet (Cuddapah Dist.), India https://www.instagram.com/p/B96BtjgnCyy/?igshid=178us0nib7zfv",#OneFamily #covid_19
