,Date,Username,Tweet,Hashtags
0,2020-04-14 17:42:41+00:00,manishmantri41,"Actionable Rumours and punishable offence, but what @AUThackeray told is also correct, that @CMOMaharashtra can’t handle #MumbaiMigrants in such #Covid_19 situations..! I fully agreed with addi bhai.. #MumbaiLockdown #MumbaiMigrantMystery #MumbaiCovidHorror",#MumbaiMigrants #Covid_19 #MumbaiLockdown #MumbaiMigrantMystery #MumbaiCovidHorror
1,2020-04-14 12:42:44+00:00,PoonamThakur111,"Police, medical staff, sanitation workers etc - these are WARRIORS of the nation who are protecting us from COVID-19. #LetUsPrayForCoronaFighters",#LetUsPrayForCoronaFighters
2,2020-04-14 12:39:08+00:00,PoonamThakur111,कोरोना से लोगो को बचाने वाले Doctors से लोग अच्छा व्यवहार करें I उन्होंने अपनी जान जोखिम में डाली है ताकि जनता की रक्षा हो इस covid-19 सेI खुद को भी संक्रमण हो सकता है इसकी चिंता न कर जनसेवा करने में जुटे है ये योद्धा। #LetUsPrayForCoronaFighters,#LetUsPrayForCoronaFighters
3,2020-04-13 13:53:02+00:00,PoonamThakur111,"विपत्ति समय देश को सन्त जन ही उबारते हैं ये स्पष्ट दिख रहा है Covid-19 के चलते Lockdown स्थिति में ! Sant Shri Asharamji Bapu प्रेरणा से विभिन्न स्थानों पर भोजन भंडारे, राशन किट्स, फूड पैकेट्स बांटे जा रहे हैं आश्रमो द्वारा। #विश्व_सेवा_दिवस",
4,2020-04-13 13:38:32+00:00,NileshSaboo,Do you mean if you contribute to state disaster management authority it will qualify but if you contribute to COVID-19 fund it will not qualify,
5,2020-04-11 07:53:31+00:00,sumitbagrecha,#COVID__19 #Coronafighters,#COVID__19 #Coronafighters
6,2020-04-11 01:42:47+00:00,manishmantri41,"कृपया घर पर रहें लॉकडाउन और सामाजिक दुरी का पालन करें ताकि आप स्वयं, परिवार और समुदाय को सुरक्षित रख सके..! #COVID-19 #coronavirusinindia",#COVID #coronavirusinindia
7,2020-04-08 15:29:27+00:00,manishmantri41,"अगर ज़िंदगी से हात नहीं धोना.., तो रोज़ाना हात साबुन से धोना..! @DrKumarVishwas @rahatindori @acpoddar @rahulrsomani @_Rahuld @MilindSomani @PratikMantri111 @shubham_0192 @mantripiyush @sharma0966 @manoj_indore @KiranLokmat @paragbangad #COVID #CoronaInMaharashtra",#COVID #CoronaInMaharashtra
8,2020-04-05 18:07:10+00:00,ChaudhariSujam,"Hello friends Be happy enjoy every moment of your life is too short I feel, but today very danger situation& Are facing! In a my country all people face on the covid-19 coronavirus but Don't worry we will surely… https://www.instagram.com/p/B-m9CFSnFnC/?igshid=1lu651ywkh2q5",
9,2020-04-05 15:59:41+00:00,KrishnaCharkha,We stand with @narendramodi ji to express our social gratitude. 9 baje 9 minute we follow n we hope that everyone gets energy to fight COVID-19. We thanks every Corona Fighters. -CA Krishna Charkha (AIR 34) #9pmDiwaliAtABP #9baje9mintues @ABPNews @aajtak @ZeeNews @PMOIndia,#9pmDiwaliAtABP #9baje9mintues
10,2020-04-05 15:27:25+00:00,ChaudhariSujam,"Hello friends Be happy enjoy every moment of your life is too short I feel, but today very danger situation& Are facing In a my country all people face on the covid-19 coronavirus but Don't worry we will surely… https://www.instagram.com/p/B-mqv_0Hggr/?igshid=aid6p1ourgnu",
11,2020-03-31 08:42:33+00:00,manishmantri41,"अखिल भारतीय माहेश्वरी महासभा के, विदर्भ प्रदेश के अंतर्गत वाशिम तहसील माहेश्वरी संगठन(समाज) की और से देश में आई #COVID आपदा की घड़ी में एक छोटी सी मदद..! @narendramodi @ombirlakota @ShyamSJaju @PMOIndia @kiransnm @iRupND #PMCaresFunds – at Washim",#COVID #PMCaresFunds
12,2020-03-27 06:04:02+00:00,manishmantri41,सभी इंटरनेशनल फ्लाइट्स पर 14 APRIL तक के लिए रोक लगा दी गई है..! #COVID-19,#COVID
13,2020-03-22 17:58:54+00:00,manishmantri41,"महाभारत के बाद ऎसा शंख नाद पृथ्वी पर युगों युगों बाद हुआ है बुराई पर अच्छाई की जीत, जय सनातन धर्म #Covid_19india #JantaCurfew",#Covid_19india #JantaCurfew
14,2020-03-19 07:22:14+00:00,jpdiamond22228," simple steps to protect yourself from the ongoing Novel Coronavirus Stay healthy. Stay safe #OneFamily #covid_19 @Rajampet (Cuddapah Dist.), India https://www.instagram.com/p/B96BtjgnCyy/?igshid=178us0nib7zfv",#OneFamily #covid_19
