,User,Text,Date,Hashtags
0,WeForNews,Lockdown to be imposed in Raipur &amp; Birgaon Municipal corporation areas effective from 22 July till 28 July midnight in view of #COVID19. Essential services exempted: Raipur District Administration #Chhattisgarh,2020-07-19 18:38:28+00:00,#COVID19 #Chhattisgarh
1,rajsahaofficial,Lockdown to be imposed in Raipur &amp; Birgaon Municipal corporation areas effective from 22 July till 28 July midnight in view of #COVID19. Essential services exempted: Raipur District Administration #Chhattisgarh,2020-07-19 18:15:27+00:00,#COVID19 #Chhattisgarh
2,rajsahaofficial,"Lockdown extended in the district till July 27 midnight. Decision taken as the number of #COVID19 cases has not come down: B Sharat, Kalaburagi Deputy Commissioner #Karnataka",2020-07-19 18:10:36+00:00,#COVID19 #Karnataka
3,kainisms,"The student, who graduated in 2017, failed to receive his degree because DU doesn't have quality paper & the contract with the printer could not be renewed due to #Covid19 lockdown. What's worse is that there are more students who have not received their degrees because of this. ",2020-07-19 17:51:37+00:00,#Covid19
4,datta_pavan,Krishna with Pavan in Lockdown https://www.launchora.com/story/krishna-with-pavan-in-lockdown via @launchora #WritingCommunity #writing #readers #readerscommunity #Truth #TruthMatters #truthbombs #TruthHasArrived #story #fiction #COVID19 #COVID #CoronaKumar #coronavirus #faith #GodKabir_OceanOfHappiness #God,2020-07-19 17:01:53+00:00,#WritingCommunity #writing #readers #readerscommunity #Truth #TruthMatters #truthbombs #TruthHasArrived #story #fiction #COVID19 #COVID #CoronaKumar #coronavirus #faith #GodKabir_OceanOfHappiness #God
5,TUCC_Official,Lockdown measures to contain #COVID19 have resulted in migrants losing their jobs in border countries and prevented from returning home. See how UNHumanRights supports migrants living in quarantine camps in Latin America amid the #coronavirus crisis: …,2020-07-19 16:52:26+00:00,#COVID19 #coronavirus
6,airnewsalerts,Madhya Pradesh came under an intense #lockdown; the second successive Sunday of full curbs without any relaxations to help fight #COVID19 and roads everywhere wore a deserted look as people stayed indoors.,2020-07-19 15:51:37+00:00,#lockdown #COVID19
7,razazeeshan777,The lockdown hasnt been able to flatten #COVID19 curve. But the govt has attempted to flatten the backs of its critics by abusing the lockdown. #ReleaseOurDrKafeel,2020-07-19 14:39:23+00:00,#COVID19 #ReleaseOurDrKafeel
8,nsaibalaji,The lockdown hasnt been able to flatten #COVID19 curve. But the govt has attempted to flatten the backs of its critics by abusing the lockdown. #ReleaseOurDrKafeel,2020-07-19 13:24:27+00:00,#COVID19 #ReleaseOurDrKafeel
9,SidhuSidhu8,@dm_ghaziabad @SspGhaziabad This is today's clip from Express Garden society in Indirapuram. Kids are playing cricket in block 4 ground. In Sun lockdown. Despite of 2 COVID19 + cases are noted today in society. Kindly do something so RWA compelled to follow covid19 guidelines. ,2020-07-19 13:07:07+00:00,
