,User,Text,Date,Hashtags
0,thefirstindia,"#Karnataka | #Lockdown extended in the district till July 27 midnight. Decision taken as the number of #COVID19 cases has not come down: B Sharat, Kalaburagi Deputy Commissioner #KarnatakaCoronaUpdate #KarnatakaFightsCorona #KarnatakaGovernment #lockdownextention",2020-07-19 18:10:44+00:00,#Karnataka #Lockdown #COVID19 #KarnatakaCoronaUpdate #KarnatakaFightsCorona #KarnatakaGovernment #lockdownextention
1,MohdHussainZKR,Unlock 1.0 Journey after Lockdown #Unlock1.0 #Lockdown #LockdownMemories #CoronaPandemic #COVID19 #CoronaVirus #IndiaFightsCorona,2020-07-19 14:13:18+00:00,#Unlock1 #Lockdown #LockdownMemories #CoronaPandemic #COVID19 #CoronaVirus #IndiaFightsCorona
2,Dinesh__sharma_,The number of COVID19 cases has been steadily on the rise and there has been no flattening of the virus curve. Many states and cities have been placed under lockdown again.Even the WHO said that large gatherings should not be held #ExamsInCovidASuicide @ugc_india @DrRPNishank,2020-07-19 10:13:22+00:00,#ExamsInCovidASuicide
3,thefirstindia,#ArunachalPradesh | State govt extends complete #lockdown in Itanagar Capital Complex Region till August 3. #Itanagar #IndiaFightsCorona #Lockdown5 #lockdownextended #COVID19 #coronavirus,2020-07-19 10:02:56+00:00,#ArunachalPradesh #lockdown #Itanagar #IndiaFightsCorona #Lockdown5 #lockdownextended #COVID19 #coronavirus
4,assilawat,@sudhirchaudhary @CMOMaharashtra @AnilDeshmukhNCP @IndianEmbRiyadh @KSAembassyIND @KSAmofaEN @KSA_ACS #CoronavirusIndia #COVID19 #lockdown #PMOfIndia #NarendraModi #MAHKA #Rajasthan,2020-07-19 06:46:47+00:00,#CoronavirusIndia #COVID19 #lockdown #PMOfIndia #NarendraModi #MAHKA #Rajasthan
5,thefirstindia,#TamilNadu | Streets in Chennai wear a deserted look as the state observes complete lockdown on #Sunday; visuals from Anna Arch and Poonamallee High Road in the city. #Chennai #COVID19 #Coronavirus #lockdown #TNFightsCorona #TNLockdown,2020-07-19 05:38:07+00:00,#TamilNadu #Sunday #Chennai #COVID19 #Coronavirus #lockdown #TNFightsCorona #TNLockdown
6,thefirstindia,"#Karnataka observes complete lockdown today. Visuals from Chennamma circle, Hubli. State govt is imposing complete lockdown every #Sunday till August 2 due to #COVID19 Weddings already fixed on Sundays&amp;essential activities allowed during night curfew permitted on Sunday lockdown ",2020-07-19 04:46:22+00:00,#Karnataka #Sunday #COVID19
7,im_vishal_ahir,#COVID19 #Positive पता नहीं था की ये लाडले भाई MD भाई को भी हो जायेगा जिन्होंने Lockdown मे इतने सारे जरूरतमन्द लोगों की हेल्प की आज वो खुद इस से लड़ रहे हैं..। भगवान जल्दी भाई को स्वस्थ करे #MDKD ROCKSTAR,2020-07-19 02:54:36+00:00,#COVID19 #Positive #MDKD
8,thefirstindia,"#Moradabad | Total lockdown being observed in the state this weekend, to curb the spread of #COVID19. #UttarPradesh #lockdown #LockdownIndia #Coronavirus",2020-07-19 02:38:58+00:00,#Moradabad #COVID19 #UttarPradesh #lockdown #LockdownIndia #Coronavirus
9,thefirstindia,"#Karnataka | Lockdown imposed in Dakshina Kannada district till July 23, with relaxation hours between 8 am to 11 am, in the wake of #COVID19 pandemic. Visuals from Mangaluru. #lockdown #LockdiwnIndia #KarnatakaCovidHorror",2020-07-19 02:31:58+00:00,#Karnataka #COVID19 #lockdown #LockdiwnIndia #KarnatakaCovidHorror
10,thefirstindia,"Aadi Mulaikathu festival to be held from 20th July to 30th July at Meenakshi Amman temple. Entry of devotees not allowed at the temple due to COVID19 pandemic: Temple management, Madurai #TamilNadu #Coronavirus #COVID19 #Lockdown ",2020-07-18 09:08:57+00:00,#TamilNadu #Coronavirus #COVID19 #Lockdown
11,assilawat,@sudhirchaudhary @CMOMaharashtra @AnilDeshmukhNCP @IndianEmbRiyadh @KSAembassyIND @KSAmofaEN @KSA_ACS #CoronavirusIndia #COVID19 #lockdown #PMOfIndia #NarendraModi #MAHKA #Rajasthan,2020-07-18 06:42:24+00:00,#CoronavirusIndia #COVID19 #lockdown #PMOfIndia #NarendraModi #MAHKA #Rajasthan
12,rajat_patni27,"The cases are increasing day by day, requesting our chief minister shri @ashokgehlot51 to start a weekend lockdown in the state. Plz #coronavirus #COVID19 #Weekendlockdown",2020-07-15 15:15:57+00:00,#coronavirus #COVID19 #Weekendlockdown
13,rajat_patni27,"We can also have a one day lockdown like on Sunday's in rajasthan also, just to minimize the #COVID19 cases. @ashokgehlot51 @RajCMO",2020-07-12 07:10:14+00:00,#COVID19
